1233663282793373696,2020-02-29 08:00:21,pipacomunicacao,1621,#itau,pt,Bradesco e Itaú lideram ranking de marcas da América Latina. Via @meioemensagem https://t.co/NKv9nDuFK0 #dicapipa… https://t.co/GJojqKK4pV
1233421645378990081,2020-02-28 16:00:10,gifantini26,28,#itau,pt,Hoje tem festa da firmaaaaaaa! #carnaval #itau
1233413681670696960,2020-02-28 15:28:32,EGMartins_DS,8,#itau,pt,#itau Estou com meu salário preso desde o dia 10/02. Todo esse tempo para aumentar meu limite com moeda estrangeira… https://t.co/itnWF3GBJa
1233411910051168257,2020-02-28 15:21:29,Magico2208,16,#itau,es,"#itau sin sistema toda la mañana, que verguenza, tampoco se puede transferir, ni cobrar cheques por caja.. quien responde"
1233396268166193162,2020-02-28 14:19:20,Enrcefau,76,#itau,es,"@itauchile #itau #Bancoitau Que pasa con la pagina? Viernes fin de mes, inoperancia del portal...  favor informacion."
1233391574916194309,2020-02-28 14:00:41,Washington_Ivo,15,#itau,pt,"Melhor atendimento por chat é do CredCard Zero, excelente. Nunca vi igual, parabéns 🎉🕺🏽 queria eu trabalhar com tot… https://t.co/7uKGVSNSkU"
1233301875597901825,2020-02-28 08:04:15,selusava,33162,#itau,en,"Ita Unibanco Holding SA (ITUB) price at close, 2020-02-27, is 6.95. #ITUB4 #IBOV https://t.co/W7M71Fi0mm #Itaú"
1233204796968046592,2020-02-28 01:38:30,FilipeCandiiido,494,#itau,pt,"Fora taxas da conta débito($50,00 mensal)
Fora taxas de transferência para outros bancos...
Fora as burocracias.

N… https://t.co/Ya94jHcrHU"
1233204124876976128,2020-02-28 01:35:49,FilipeCandiiido,494,#itau,pt,"Mais de 10 anos com conta no #Itaú nunca me liberou crédito nenhum. Fui inúmeras vezes pedir ativação do crédito, s… https://t.co/UzlwW3ubpX"
1233197972281843712,2020-02-28 01:11:22,edu3oficial,27,#itau,pt,meu cabelo vai ficar q nem o do cara do comercial do #itau 😁
